"Time (s)","Pressure (hPa)"
5.406806290E1,9.879187012E2
5.410806030E1,9.879197998E2
5.414806431E1,9.879183350E2
5.418805467E1,9.879178467E2
5.422806493E1,9.879183960E2
5.426805332E1,9.879185791E2
5.430805681E1,9.879191895E2
5.434806551E1,9.879214478E2
5.438806004E1,9.879252319E2
5.442806082E1,9.879299316E2
5.446806639E1,9.879333496E2
5.450807077E1,9.879364014E2
5.454806806E1,9.879406738E2
5.458806431E1,9.879418335E2
5.462805900E1,9.879407959E2
5.466805462E1,9.879405518E2
5.470806082E1,9.879426270E2
5.474806446E1,9.879434814E2
5.478806504E1,9.879478760E2
5.482806545E1,9.879527588E2
5.486806728E1,9.879558105E2
5.490806436E1,9.879566650E2
5.494805446E1,9.879580688E2
5.498805400E1,9.879578857E2
5.502806004E1,9.879574585E2
5.506806108E1,9.879603882E2
5.510806056E1,9.879624634E2
5.514806801E1,9.879617920E2
5.518805608E1,9.879641113E2
5.522806415E1,9.879680176E2
5.526805868E1,9.879713135E2
5.530805530E1,9.879769897E2
5.534806004E1,9.879815063E2
5.538806134E1,9.879803467E2
5.542806082E1,9.879794312E2
5.546806571E1,9.879797363E2
5.550806874E1,9.879785767E2
5.554805853E1,9.879789429E2
5.558805462E1,9.879820557E2
5.562805509E1,9.879849243E2
5.566806134E1,9.879875488E2
5.570806160E1,9.879882202E2
5.574806004E1,9.879883423E2
5.578806681E1,9.879898682E2
5.582805691E1,9.879891357E2
5.586806431E1,9.879877319E2
5.590805801E1,9.879893188E2
5.594806113E1,9.879924316E2
5.598806551E1,9.879960327E2
5.602806030E1,9.880010376E2
5.606805900E1,9.880040283E2
5.610806806E1,9.880042725E2
5.614806582E1,9.880053101E2
5.618805644E1,9.880049438E2
5.622805821E1,9.880026855E2
5.626805764E1,9.880012207E2
5.630805993E1,9.880018311E2
5.634806603E1,9.880004272E2
5.638805952E1,9.879994507E2
5.642806545E1,9.879992676E2
5.646806608E1,9.879994507E2
5.650806519E1,9.880028076E2
5.654806467E1,9.880052490E2
5.658805379E1,9.880056152E2
5.662805806E1,9.880062866E2
5.666806056E1,9.880049438E2
5.670806264E1,9.880035400E2
5.674806941E1,9.880051270E2
5.678806514E1,9.880062866E2
5.682806478E1,9.880093994E2
5.686806571E1,9.880156860E2
5.690805821E1,9.880178223E2
5.694805483E1,9.880197754E2
5.698806238E1,9.880227051E2
5.702806238E1,9.880218506E2
5.706805900E1,9.880195923E2
5.710806712E1,9.880189819E2
5.714806717E1,9.880178223E2
5.718805920E1,9.880166626E2
5.722806061E1,9.880176392E2
5.726805707E1,9.880207520E2
