"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.272829277E1,-6.793911755E-2,-2.088753879E-1,-9.804189682E0
1.273329277E1,-6.848841906E-2,-2.093692869E-1,-9.804175377E0
1.273829277E1,-6.887934357E-2,-2.097124606E-1,-9.804165840E0
1.274329277E1,-6.915923208E-2,-2.099051178E-1,-9.804159164E0
1.274829277E1,-6.924317032E-2,-2.098757029E-1,-9.804159164E0
1.275329277E1,-6.938607246E-2,-2.099884450E-1,-9.804156303E0
1.275829277E1,-7.010726631E-2,-2.101914436E-1,-9.804146767E0
1.276329277E1,-7.114420086E-2,-2.102737576E-1,-9.804137230E0
1.276829277E1,-7.208453119E-2,-2.103617191E-1,-9.804128647E0
1.277329277E1,-7.300126553E-2,-2.102624923E-1,-9.804123878E0
1.277829277E1,-7.350242883E-2,-2.098528296E-1,-9.804128647E0
1.278329277E1,-7.338158041E-2,-2.094338089E-1,-9.804138184E0
1.278829277E1,-7.312621176E-2,-2.091590017E-1,-9.804146767E0
1.279329277E1,-7.301964611E-2,-2.093658298E-1,-9.804142952E0
1.279829277E1,-7.298534364E-2,-2.096881717E-1,-9.804136276E0
1.280329277E1,-7.273307443E-2,-2.099847943E-1,-9.804132462E0
1.280829277E1,-7.276519388E-2,-2.101085037E-1,-9.804128647E0
1.281329277E1,-7.292059809E-2,-2.100034803E-1,-9.804129601E0
1.281829277E1,-7.320509851E-2,-2.099862248E-1,-9.804127693E0
1.282329277E1,-7.398379594E-2,-2.098731548E-1,-9.804125786E0
1.282829277E1,-7.532399148E-2,-2.097789943E-1,-9.804117203E0
1.283329277E1,-7.628224045E-2,-2.096350044E-1,-9.804112434E0
1.283829277E1,-7.704665512E-2,-2.096832991E-1,-9.804105759E0
1.284329277E1,-7.754240185E-2,-2.098241597E-1,-9.804099083E0
1.284829277E1,-7.733141631E-2,-2.097220719E-1,-9.804102898E0
1.285329277E1,-7.646109909E-2,-2.095859498E-1,-9.804111481E0
1.285829277E1,-7.581338286E-2,-2.094858289E-1,-9.804119110E0
1.286329277E1,-7.561937720E-2,-2.096428871E-1,-9.804117203E0
1.286829277E1,-7.581647485E-2,-2.097191811E-1,-9.804114342E0
1.287329277E1,-7.606621832E-2,-2.097718567E-1,-9.804110527E0
1.287829277E1,-7.666977495E-2,-2.097082734E-1,-9.804107666E0
1.288329277E1,-7.710148394E-2,-2.093550563E-1,-9.804112434E0
1.288829277E1,-7.688973099E-2,-2.090791166E-1,-9.804120064E0
1.289329277E1,-7.683332264E-2,-2.090445012E-1,-9.804121017E0
1.289829277E1,-7.697345316E-2,-2.093430758E-1,-9.804113388E0
1.290329277E1,-7.703153044E-2,-2.094945908E-1,-9.804110527E0
1.290829277E1,-7.719344646E-2,-2.095960677E-1,-9.804105759E0
1.291329277E1,-7.756385952E-2,-2.093143612E-1,-9.804108620E0
1.291829277E1,-7.775124162E-2,-2.086056620E-1,-9.804122925E0
1.292329277E1,-7.755610347E-2,-2.080794871E-1,-9.804135323E0
1.292829277E1,-7.770396024E-2,-2.074115276E-1,-9.804148674E0
1.293329277E1,-7.787349820E-2,-2.071039081E-1,-9.804153442E0
1.293829277E1,-7.789699733E-2,-2.069959342E-1,-9.804156303E0
1.294329277E1,-7.761520147E-2,-2.072176784E-1,-9.804153442E0
1.294829277E1,-7.755501568E-2,-2.074915469E-1,-9.804147720E0
1.295329277E1,-7.716101408E-2,-2.076553255E-1,-9.804147720E0
1.295829277E1,-7.668849081E-2,-2.079670131E-1,-9.804144859E0
1.296329277E1,-7.668715715E-2,-2.080215663E-1,-9.804143906E0
1.296829277E1,-7.671469450E-2,-2.079631984E-1,-9.804144859E0
1.297329277E1,-7.686167955E-2,-2.079534084E-1,-9.804143906E0
